Title: Identifying Exoplanets with Deep Learning II: Two New Super-Earths 
       Uncovered by a Neural Network in K2 Data 
Authors: Dattilo A., Vanderburg A., Shallue C.J., Mayo A.W., Berlind P., 
         Bieryla A., Calkins M.L., Esquerdo G.A., Everett M.E., Howell S.B.,
	 Latham D.W., Scott N.J., Yu L. 
Table: K2 Planet Candidate Training/Validation/Test Set
================================================================================
Byte-by-byte Description of file: ajab0e12t3_mrt.txt
--------------------------------------------------------------------------------
   Bytes Format Units Label   Explanations
--------------------------------------------------------------------------------
   1-  9 I9     ---   EPIC    EPIC identifier
      11 I1     ---   Num     Planet number
  13- 24 F12.9  d     Period  Orbital period
  26- 36 F11.6  d     Time    Time of Transit; BJD-2454833
  38- 50 F13.9  h     Dur     Transit duration
      52 A1     ---   Label   Training label (1)
  54- 55 I2     ---   Camp    Campaign number
  57- 69 F13.9  ---   Ratio   Planet to stellar radii ratio
  71- 81 E11.5  ---   IP      Impact parameter
--------------------------------------------------------------------------------
Note (1):
    J = junk, and typically are either instrumental systematics or 
        stellar variability.
    E = eclipsing binary star;
    C = planet candidate.
--------------------------------------------------------------------------------
200001049 1 28.94461125  2002.122414   2.990041376 J  1   2.555702219 1.24839e+00
201124136 1 35.38110738  1990.254887   2.939212598 J  1   0.162759219 1.04684e+00
201126503 1  1.194869833 1977.375616   1.7932546   C  1   0.061295114 7.75591e-01
201131821 1 10.5507237   1987.073905   1.464041586 J  1   0.099763623 5.17321e-01
201133060 1  7.843923319 1978.523391   1.591163347 J  1   0.089307523 4.94194e-04
201136242 1  0.245037064 1977.338043   0.141141349 J  1   0.068636433 1.00000e-02
201137589 1  0.12262433  1977.287719   0.070631614 J  1   0.065830297 1.00000e-02
201141876 1  0.163459033 1977.30514    0.094152403 J  1   0.338031438 1.00000e-02
201143107 1  7.843922992 1978.52283    1.564043424 J  1   0.067069183 4.99999e-04
201145205 1 28.402966    1977.380815   3.105401341 J  1   0.323971051 1.09574e+00
201145621 1 28.40594082  1977.366573   0.991484362 J  1   0.086576647 3.76127e-01
201146489 1 21.42846654  1989.586459   6.004301954 E  1   0.128439312 1.02875e+00
201148067 1 40.01727508  1977.405056   5.361641493 J  1   0.130607363 8.40070e-01
201148768 1 38.99426968  1986.589685   1.524765554 J  1   0.1443235   5.60130e-04
